"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2000",26.515,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2001",24.606,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2002",25.263,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2003",25.958,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2004",28.719,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2005",27.19,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2006",27.03,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2007",24.166,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2008",23.343,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2009",23.454,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2010",25.31,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2011",23.287,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2012",22.435,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2013",23.744,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2014",22.587,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",20.519,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2016",19.473,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",21.251,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2018",19.965,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2019",19.698,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2000",15.651,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2001",14.892,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2002",16.418,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2003",17.593,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2004",17.718,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2005",18.863,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2006",18.409,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2007",20.221,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2008",19.17,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2009",19.744,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2010",20.129,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2011",19.486,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2012",20.502,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2013",19.9,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2014",20.174,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2015",21.77,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2016",21.4,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2017",22.062,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2018",21.395,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2019",20.252,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2000",29.682,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2001",29.225,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2002",32.494,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2003",31.407,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2004",32.81,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2005",34.092,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2006",35.187,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2007",34.769,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2008",33.261,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2009",33.578,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2010",37.645,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2011",39.499,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2012",40.319,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2013",40.161,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2014",40.806,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2015",41.989,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2016",44.512,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2017",43.349,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2018",42.353,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2019",43.488,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2000",16.368,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2001",14.977,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2002",13.779,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2003",12.153,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2004",11.984,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2005",11.992,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2006",12.37,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2007",12.587,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2008",10.992,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2009",10.334,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2010",8.973,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2011",8.046,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2012",8.723,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2013",8.723,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2014",8.116,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2015",9.346,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2016",8.5,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2017",7.755,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2018",6.982,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2019",6.18,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2000",23.411,
